code,conditions,garment
04N2,"[{""Vent"":{""condition"":""equals"",""value"":""Double Vent""}}]",Tux Jacket
0571,"[{""Pic Stitching"":{""condition"":""equals"",""value"":""Pic Stitch""}}]",Tux Jacket
085E,"[{""Piping"":{""condition"":""equals"",""value"":""Match Fabric""}}]",Tux Jacket
0671,"[{""Collar Felt"":{""condition"":""equals"",""value"":""Match Fabric""}}]",Tux Jacket
064A,"[{""Buttonhole Threading"":{""condition"":""equals"",""value"":""Match Fabric""}}]",Tux Jacket
064C,"[{""Button Threading"":{""condition"":""equals"",""value"":""Match Fabric""}}]",Tux Jacket
000A,"[{""Canvassing"":{""condition"":""equals"",""value"":""Full (+$195)""}}]",Tux Jacket
"064P, 0658","[{""All Buttonholes"":{""condition"":""equals"",""value"":""Hand Sewn Buttonholes (+$125)""}}]",Tux Jacket
0650,"[{""Satin"":{""condition"":""equals"",""value"":""Satin - Std. Black""}}]",Tux Jacket
"C065Q, C0319, C0659, C099K=DXN047A","[{""Satin"":{""condition"":""equals"",""value"":""Satin - Navy""}}]",Tux Jacket
"C065Q, C0319, C0659, C099K=DXN032A","[{""Satin"":{""condition"":""equals"",""value"":""Satin - Grey""}}]",Tux Jacket
"C065Q, C0319, C0659, C099K=DXN031A","[{""Satin"":{""condition"":""equals"",""value"":""Satin - Red""}}]",Tux Jacket
"C065Q, C0319, C0659, C099K= DXN030A","[{""Satin"":{""condition"":""equals"",""value"":""Satin - Burgundy""}}]",Tux Jacket
"C065Q, C0319, C0659, C099K= DXN045A","[{""Satin"":{""condition"":""equals"",""value"":""Satin - White""}}]",Tux Jacket
"C065Q, C0319, C0659, C099K=TGES103","[{""Satin"":{""condition"":""equals"",""value"":""Satin - Matte Black""}}]",Tux Jacket
"C065Q, C0319, C0659, C099K=TGES102","[{""Satin"":{""condition"":""equals"",""value"":""Satin - Glossy Black""}}]",Tux Jacket
3020,"[{""Front Style"":{""condition"":""equals"",""value"":""Flat Front""}}]",Tux Pants
3023,"[{""Front Style"":{""condition"":""equals"",""value"":""Double Pleat""}}]",Tux Pants
3021,"[{""Front Style"":{""condition"":""equals"",""value"":""Single Pleat""}}]",Tux Pants
"3440, 3352=QZMAB02","[{""Waistband"":{""condition"":""equals"",""value"":""No Suspender Buttons, Side Gunmetal Buckle""}}]",Tux Pants
3411,"[{""Front Closure"":{""condition"":""equals"",""value"":""Button No Extender""}}]",Tux Pants
3410,"[{""Front Closure"":{""condition"":""equals"",""value"":""Hook No Extender""}}]",Tux Pants
3414,"[{""Front Closure"":{""condition"":""equals"",""value"":""Square Extender with Double Hook""}}]",Tux Pants
3412,"[{""Front Closure"":{""condition"":""equals"",""value"":""Pointed Extender with Hook & Button""}}]",Tux Pants
3130,"[{""Front Pockets"":{""condition"":""equals"",""value"":""On Seam""}}]",Tux Pants
